Rank	NCT Number	Title	Acronym	Status	Study Results	Conditions	Interventions	Outcome Measures	Sponsor/Collaborators	Gender	Age	Phases	Enrollment	Funded Bys	Study Type	Study Designs	Other IDs	Start Date	Primary Completion Date	Completion Date	First Posted	Results First Posted	Last Update Posted	Locations	Study Documents	URL
31	NCT05218850	The Use of Butyrate Therapy in Pediatric Ulcerative Colitis		Not yet recruiting	No Results Available	Ulcerative Colitis	Drug: Butyrate	remission of clinical disease|calprotectin	Children's Hospital Los Angeles	All	7 Years to 21 Years   (Child, Adult)	Phase 1	10	Other	Interventional	Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	APP-22-00210	July 1, 2022	June 30, 2027	June 30, 2027	February 1, 2022		February 15, 2022	Children's Hospital Los Angeles, Los Angeles, California, United States		https://ClinicalTrials.gov/show/NCT05218850
32	NCT05737836	Analyzing the Factors in Ulcerative Colitis Patients' Clinical Trial Experiences		Not yet recruiting	No Results Available	Ulcerative Colitis		Rate of patients who decide to join in an Ulcerative Colitis clinical trial|Number of Ulcerative Colitis patients who remain in clinical trial until completion	Power Life Sciences Inc.	All	18 Years and older   (Adult, Older Adult)		500	Industry	Observational	Observational Model: Case-Crossover|Time Perspective: Prospective	80979547	March 2024	March 2025	March 2026	February 21, 2023		June 12, 2023		"Informed Consent Form", https://classic.clinicaltrials.gov/ProvidedDocs/36/NCT05737836/ICF_000.pdf	https://ClinicalTrials.gov/show/NCT05737836
33	NCT05430412	CT to Assess the Efficacy and Safety of Adding GMA to Infliximab in Paediatric Patients With Steroid-refractory Ulcerative Colitis		Recruiting	No Results Available	Ulcerative Colitis	Device: Adacolumn	Primary objective:evaluate if Adacolumn® can sustain clinical response to IFX for 12 weeks of follow-up (V.11) or 40 weeks of follow-up (V18). Clinical response to IFX will be evaluated through PUCAI SCORE|Primary objective: evaluate if Adacolumn® can sustain clinical response to IFX for 12 weeks of follow-up (V.11) or 40 weeks of follow-up (V18). Clinical response to IFX will be evaluated through IFX-LEVELS|Primary objective:evaluate if Adacolumn® can sustain clinical response to IFX for 12 weeks of follow-up (V.11) or 40 weeks of follow-up (V18). Clinical response to IFX will be evaluated through STEROIDS USE|To evaluate the IFX and ATI level variations in the treatment regimen during the study period. Quantification of IFX trough and ATI levels, and description of the IFX dose at baseline, 12 and 40 weeks of follow-up|To measure the PUCAI score variation during the study period. Measurement of PUCAI score at baseline, 12 and 40 weeks of follow-up.|To determine the percentage of patients maintaining steroid-free response during the study period at 12 and 40 weeks.|To describe the number of flare-ups during the study period. Patients experiencing flares-ups during the study period.|To measure faecal calprotectin level during the study period. Quantification of faecal calprotectin level at baseline, 12 and 40 weeks of follow-up. Faecal calprotectin is associated with clinical remission with levels higher than 150 μg/g.|To monitor the evolution of biochemical markers of inflammatory activity in UC and other laboratory parameters. Measurement of C-reactive protein, ESR, haemoglobin, albumin, platelet levels, PT, granulocytes at baseline, 12(V11) and 40 weeks(V18)|To determine the evolution of leucocyte counts in peripheral blood during the study period. Quantification of leucocyte counts in peripheral blood at baseline, 12 and 40 weeks of follow-up.|To evaluate the safety of Adacolumn® during the study period, all the recorded AEs will be described by:	Adacyte Therapeutics SL|Adknoma Health Research	All	up to 18 Years   (Child, Adult)	Not Applicable	15	Industry	Interventional	Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	GUITAR	January 11, 2022	June 2023	September 2023	June 24, 2022		June 24, 2022	Hospital Coimbra, Coimbra, Portugal|Hospital Santa Maria, Lisboa, Portugal|Hospital Soa Joao, Oporto, Portugal|Hospital H. Sant Joan de Déu, Sant Joan Despí, Barcelona, Spain|Hospital Universitari Vall d'Hebron, Barcelona, Spain|Hospital Infantil Universitario Niño Jesús, Madrid, Spain|Hospital Materno-Infantil del H.U.R. de Málaga, Málaga, Spain|Complejo H. Regional Virgen Del Rocío, Sevilla, Spain|Hospital U. Ntra Señora de Candelaria, Tenerife, Spain|Hospital Universitari I Politècnic La Fe, Valencia, Spain		https://ClinicalTrials.gov/show/NCT05430412
34	NCT03986996	Antimicrobial Therapy for Ulcerative Colitis (UC)	UC	Terminated	No Results Available	Ulcerative Colitis	Drug: amoxicillin, metronidazole and doxycycline|Drug: amoxicillin and doxycyclin	Efficacy - Clinical Response in group 1 and 2 or Clinical Remission|Efficacy - Clinical Response in group 1 and 2|EFFICACY - Remission|EFFICACY - PGA|EFFICACY - Corticosteroid free remission|EFFICACY - Decrease in endoscopic disease activity	Wolfson Medical Center	All	13 Years to 60 Years   (Child, Adult)	Phase 2	20	Other	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Investigator)|Primary Purpose: Treatment	AntimicrobialUC	July 25, 2019	May 29, 2022	May 30, 2022	June 14, 2019		June 1, 2022	The E.Wolfson Medical Center, Holon, Israel		https://ClinicalTrials.gov/show/NCT03986996
35	NCT05679622	Fecal Microbiota Transplantation in Pediatric Ulcerative Colitis (UC)	FMT	Recruiting	No Results Available	Ulcerative Colitis	Other: Fecal Microbiota Transplantation	clinical response|clinical remission|safety of FMT|Number of patients requiring escalation of medical therapies|Number of patients with endoscopic remission|Fecal calprotectin level|C-reactive protein levels|erythrocyte sedimentation rate (ESR) level|The number of stools or bloody stools|gut microbial	Biao Zou|Tongji Hospital	All	2 Years to 16 Years   (Child)	Not Applicable	30	Other	Interventional	Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	63639979	December 1, 2022	June 30, 2025	June 30, 2025	January 11, 2023		February 8, 2023	Tongji Hospital, Wuhan, China		https://ClinicalTrials.gov/show/NCT05679622
36	NCT05084261	An Investigation of Oral BT051 in Subjects With Moderately to Severely Active Ulcerative Colitis (UC)	SCOUT	Completed	No Results Available	Ulcerative Colitis	Drug: BT051 200 mg|Drug: BT051 800 mg|Drug: BT051 3200 mg|Drug: Matching Placebo	Evaluate the safety and tolerability of BT051 based on the difference of proportions between treatment groups of subjects experiencing treatment-emergent adverse events (TEAEs)|Evaluate the safety and tolerability of BT051 based on the difference of proportions between treatment groups of subjects observed with a change from baseline in physical examinations, clinical laboratory tests, vital signs, and electrocardiograms (ECG)|Clinical response defined as a decrease in complete Mayo Score ≥3 points and ≥30% from baseline with a concomitant decrease in rectal bleeding subscore ≥1 point or absolute rectal bleeding subscore ≤1 point|Clinical response defined as a decrease in complete Mayo Score ≥2 points and ≥30% from baseline with a concomitant decrease in rectal bleeding subscore ≥1 point or absolute rectal bleeding subscore ≤1|Remission defined as a complete Mayo Score ≤2 points with no subscore >1 point at Day 28|Remission defined as a partial Mayo Score ≤2 points with no subscore >1 point at Days 14 and 28|Remission according to the adapted Mayo Score without the physician's global assessment, defined as a stool frequency subscore ≤1 point, rectal bleeding subscore of 0, and endoscopic subscore ≤1 point|Change in Mayo endoscopic, stool frequency, and rectal bleeding subscores.|Change in stool frequency and rectal bleeding Mayo subscores|Endoscopic remission defined as an Ulcerative Colitis Endoscopic Index of Severity (UCEIS) score of 0|Endoscopic response defined as a decrease in UCEIS ≥2 points|Histologic remission defined as Geboes Score ≤2B.0 or Nancy Index = 0|Change in Ulcerative Colitis Endoscopic Index of Severity (UCEIS) score|Change in Robarts histopathology index (RHI) score|Change in UC-100 score	Adiso Therapeutics	All	18 Years to 75 Years   (Adult, Older Adult)	Phase 1	24	Industry	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment	BT051-1-002	November 30, 2021	November 30, 2022	November 30, 2022	October 19, 2021		December 15, 2022	Inland Empire Clinical Trials, LLC, Rialto, California, United States|I.H.S. Health, LLC, Kissimmee, Florida, United States|Research Institute of Clinical Medicine Todua Clinic, Tbilisi, Georgia|Republican Clinical Hospital - Timofei Mosneaga, Chisinau, Moldova, Republic of|WIP Warsaw IBD Point, Warszawa, Poland|PlanetMed Gastroenterology, Wrocław, Poland		https://ClinicalTrials.gov/show/NCT05084261
37	NCT05867329	A Trial for Acute Severe Ulcerative Colitis		Not yet recruiting	No Results Available	Ulcerative Colitis Acute	Drug: Cyclosporine Injection (IV)|Drug: Cyclosporine Oral Product|Drug: Upadacitinib Extended Release Oral Tablet|Drug: Intravenous Methylprednisolone|Drug: Prednisone Oral Product	Proportion of randomly allocated participants to first stage of intervention|Proportion of randomly assigned participants that completed intervention and follow-up period up to 100 days|Proportion of participants with completed C-Reactive Protein (CRP) and daily bowel movements recorded prior to sequentially randomized allocation|Proportion of enrolled patients that successfully underwent the second randomization (or transition to the second-stage among participants not re-randomized)|Proportion of patients reporting trial design acceptable|Proportion of inpatient physicians reporting trial design acceptable|Proportion of patients undergoing same-admission colectomy|Proportion of patients undergoing colectomy within follow-up|Incidence and severity of adverse events|Proportion of patients in steroid-free remission at 90 days	Berinstein, Jeffrey|University of Michigan	Female	18 Years to 75 Years   (Adult, Older Adult)	Phase 4	162	Other	Interventional	Allocation: Randomized|Intervention Model: Sequential Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	HUM00228245	August 2023	May 2026	May 2026	May 22, 2023		June 23, 2023	University of Michigan, Ann Arbor, Michigan, United States		https://ClinicalTrials.gov/show/NCT05867329
38	NCT05030064	Clinical Study on the Fecal Microbiota Transplantation in the Treatment of Ulcerative Colitis With Depression		Recruiting	No Results Available	Ulcerative Colitis	Drug: Intestinal flora capsule|Procedure: placebo capsule	PHQ-9 score|SDS-score|HAMA-score|HAMD-score|HADS-score|GSRS-score|Modified Mayo score|IBD-QoL	Third Military Medical University	All	18 Years to 65 Years   (Adult, Older Adult)	Not Applicable	54	Other	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	TMMU-DP-GI-FMT-003	September 10, 2021	December 31, 2021	August 31, 2022	September 1, 2021		September 1, 2021	Department of Gastroenterology, Research Institute of Surgery, Da ping Hospital, The Third Military Medical University, Chongqing, Chongqing, China		https://ClinicalTrials.gov/show/NCT05030064
39	NCT03849599	A Study to Evaluate the Safety of PRV-300 in Adult Subjects With Moderately to Severely Active Ulcerative Colitis	PULSE	Completed	No Results Available	Ulcerative Colitis	Biological: PRV-300|Biological: Placebo	Incidence of Treatment-emergent adverse events (TEAEs),	Provention Bio, Inc.	All	18 Years to 75 Years   (Adult, Older Adult)	Phase 1	37	Industry	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment	PRV-300-UC1b	February 21, 2018	March 1, 2019	March 1, 2019	February 21, 2019		February 13, 2020	Clinical Site, Tbilisi, Georgia|Clinical Site, Chisinau, Moldova, Republic of|Clinical Site, Kapitanivka, Ukraine		https://ClinicalTrials.gov/show/NCT03849599
40	NCT05177835	Long-term Safety and Efficacy Profile of ABX464 in Subjects With Moderate to Severe Active Ulcerative Colitis		Recruiting	No Results Available	Ulcerative Colitis	Drug: ABX464	Number of adverse events in ABX464 treated subjects|Percentage of subjects reaching clinical remission at yearly visits.|Percentage of subjects reaching endoscopic remission at yearly visits|Percentage of subjects reaching clinical response at yearly visits|Percentage of subjects reaching endoscopic improvement at yearly visits	Abivax S.A.	All	18 Years and older   (Adult, Older Adult)	Phase 2	203	Industry	Interventional	Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	ABX464-108	December 3, 2021	February 2023	April 2026	January 5, 2022		January 19, 2022	UZ Leuven, Leuven, Belgium|Fakultni nemocnice u sv. Anny v Brne, Brno, Czechia|Nemocnice Slany, Slany, Czechia|DRC Gyogyszervizsgalo Kozpont Kft., Balatonfured, Hungary|Centrum Medyczne Plejady, Kraków, Poland|Trialmed CRS, Piotrkow Trybunalski, Poland|Centrum Badan Klinicznych Piotr Napora Lekarze Spolka Partnerska, Wroclaw, Poland|Samodzielny PZOZ w Lecznej, Łęczna, Poland		https://ClinicalTrials.gov/show/NCT05177835
